순번,한자,급수,부수,음,훈,音,訓
171,餓,3,食,아,굶주리다,ガ,う(える)
172,介,4,人,개,끼다,カイ,たす(ける)・すけ
173,回,9,囗,회,돌다,カイ・エ,まわ(る)・まわ(す)・めぐ(らす)
174,灰,5,火,회,재,カイ,はい
175,会,9,人,회,만나다,カイ・エ,あ(う)・あつ(まる)・あつ(める)
176,快,6,心,쾌,유쾌하다,カイ・ケ,こころよ(い)
177,戒,4,戈,계,훈계하다,カイ,いまし(める)
178,改,7,攵,개,고치다,カイ,あらた(める)・あらた(まる)
179,怪,3,心,괴,"수상하다, 의심하다",カイ・ケ,あや(しい)・あや(しむ)
180,拐,2.5,手,괴,유괴,カイ,かた(る)・かどわか(す)
181,悔,3,心,회,"후회하다, 뉘우치다, 분하다",カイ・ケ,く(いる)・く(やむ)・くや(しい)
182,海,9,水,해,바다,カイ,うみ
183,界,8,田,계,지경,カイ,さかい
184,皆,4,白,개,모두,カイ,みな
185,械,7,木,계,기계,カイ,からくり・かせ
186,絵,9,糸,회,그림,カイ・エ,無し
187,開,8,門,개,열다,カイ,ひら(く)・ひら(ける)・あ(く)・あ(ける)・はだ(かる)・はだ(ける)
188,階,8,阜,계,등급,カイ,きざはし・はしご・しな
189,塊,3,土,괴,덩어리,カイ,かたまり・つちくれ
190,楷,2,木,해,본보기,カイ,のり・のっと(る)
191,解,6,角,해,풀다,カイ・ゲ,と(く)・と(かす)・と(ける)・ほど(く)・ほど(ける)・ほぐ(れる)・ほつ(れる)・さと(る)・わか(る)
192,潰,2,水,궤,"부수다, 무너지다",カイ,つぶ(す)・つぶ(れる)・つい(える)・みだ(れる)
193,壊,4,土,괴,"무너지다, 부수다",カイ・エ,こわ(す)・こわ(れる)・やぶ(る)・やぶ(れる)
194,懐,2.5,心,회,"마음속, 그립다, 따르다",カイ,ふところ・なつ(かしい)・なつ(かしむ)・なつ(く)・なつ(ける)・おも(う)・いだ(く)
195,諧,2,言,해,어울리다,カイ,やわ(らぐ)・かな(う)・ととの(う)・たわむ(れ)
196,貝,10,貝,패,조개,バイ,かい
197,外,9,夕,외,"바깥, 다른 것, 빼다",ガイ・ゲ・ウイ,そと・ほか・はず(す)・はず(れる)・と
198,劾,2.5,力,핵,꾸짖다,ガイ,しら(べる)・あば(く)
199,害,7,宀,해,해하다,ガイ・カイ,そこ(なう)・わざわ(い)
