순번,한자,급수,부수,음,훈,音,訓,예시 단어
1051,神,8,示,신,신,シン・ジン,かみ・かん・こう・たましい,"神戸(こうべ), 阪神(はんしん), 神社(じんじゃ), 精神的(せいしんてき), 精神(せいしん)"
1052,唇,2.5,口,순,입술,シン,くちびる,
1053,娠,2.5,女,신,임신,シン,はら(む)・みごも(る),妊娠(にんしん)
1054,振,4,手,진,흔들다,シン,ふ(る)・ふ(るう)・ふ(れる)・すく(う),"振り(ふり), 振り返る(ふりかえる), 振興(しんこう), 三振(さんしん), 空振り(からぶり)"
1055,浸,4,水,침,"담그다, 잠기다",シン,ひた(す)・ひた(る)・つ(く)・つ(かる)・し(みる),"浸透(しんとう), 浸水(しんすい), 浸る(ひたる), 浸かる(つかる)"
1056,真,8,目,진,진짜,シン,ま・まこと,"写真(しゃしん), 真の(しんの), 真剣(しんけん), 真実(さな), 真ん中(まんなか)"
1057,針,5,金,침,바늘,シン,はり,"方針(ほうしん), 指針(ししん), 基本方針(きほんほうしん), 施政方針演説(しせいほうしんえんぜつ), 針金(はりがね)"
1058,深,8,水,심,깊다,シン,ふか(い)・ふか(まる)・ふか(める)・ふ(ける)・み,"深い(ふかい), 深夜(しんや), 深刻(しんこく), 深さ(ふかさ), 興味深い(きょうみぶかい)"
1059,紳,2.5,糸,신,띠,シン,おおおび,"紳士(しんし), 紳士服(しんしふく)"
1060,進,8,辵,진,나아가다,シン,すす(む)・すす(める),"推進(すいしん), 進める(すすめる), 進む(すすむ), 進出(しんしゅつ), 進んで(すすんで)"
1061,森,10,木,삼,숲,シン,もり,"森林(しんりん), 青森県(あおもりけん), 森林公園(しんりんこうえん), 森林保護(しんりんほご)"
1062,診,2.5,言,진,진찰하다,シン,み(る),"診断(しんだん), 受診(じゅしん), 診療(しんりょう), 診察(しんさつ), 検診(けんしん)"
1063,寝,4,宀,침,자다,シン,ね(る)・ね(かす)・みたまや・や(める)・みにく(い),"寝る(ねる), 寝室(しんしつ), 昼寝(ひるね), 就寝(しゅうしん), 寝たきり(ねたきり)"
1064,慎,4,心,신,"삼가다, 조심스럽다",シン,つつし(む)・つつま(しい)・つつま(しやか),"慎重(しんちょう), 慎重論(しんちょうろん), 謹慎(きんしん), 不謹慎(ふきんしん), 慎む(つつしむ)"
1065,新,9,斤,신,새롭다,シン,あたら(しい)・あら(た)・にい・さら,"新聞(しんぶん), 更新(こうしん), 新た(あらた), 新しい(あたらしい), 新人(しんじん)"
1066,審,3,宀,심,살피다,シン,つまび(らか),"審査(しんさ), 審議(しんぎ), 審判(しんばん), 不審(ふしん), 審理(しんり)"
1067,震,4,雨,진,"흔들다, 떨다",シン,ふる(う)・ふる(える),"地震(じしん), 大地震(おおじしん), 阪神大震災(はんしんだいしんさい), 震災(しんさい), 震度(しんど)"
1068,薪,4,艸,신,장작,シン,たきぎ・まき,
1069,親,9,見,친,"부모, 친하다",シン,おや・した(しい)・した(しむ)・みずか(ら),"母親(ははおや), 両親(ふたおや), 親方(おやかた), 父親(ちちおや), 親子(おやこ)"
1070,人,10,人,인,사람,ジン・ニン,ひと,"人気(じんき), １人(いちにん), 友人(ゆうじん), 人間(じんかん), 主人公(しゅじんこう)"
1071,刃,2.5,刀,인,"칼, 칼날",ジン・ニン,は・やいば・き(る),"刃物(はもの), 刃渡り(はわたり)"
1072,仁,5,人,인,어질다,ジン・ニ・ニン,無し,仁王門(におうもん)
1073,尽,4,尸,진,"다하다, 바닥나다, 없어지다",ジン,つ(くす)・つ(きる)・つ(かす)・すが(れる)・ことごと(く),"尽くし(ずくし), 理不尽(りふじん), 尽力(じんりょく), 尽くす(つくす), 尽く(ことごとく)"
1074,迅,2.5,辵,신,빠르다,ジン,はや(い)・はげ(しい),迅速(じんそく)
1075,甚,2.5,甘,심,"매우, 심하다",ジン,はなは(だ)・はなは(だしい)・いた(く),甚大(じんだい)
1076,陣,4,阜,진,풀다,ジン・チン,じんだて,"陣営(じんえい), 報道陣(ほうどうじん), 投手陣(とうしゅじん), 経営陣(けいえいじん), 陣痛(じんつう)"
1077,尋,4,寸,심,묻다,ジン,たず(ねる)・つね・ひろ,"尋ねる(たずねる), 千尋(せんじん), 尋問(じんもん), 尋常(じんじょう)"
1078,腎,2,肉,신,콩팥,ジン・シン,無し,"腎臓(じんぞう), 腎不全(じんふぜん)"
1079,須,2,頁,수,모름지기,ス・シュ,ま(つ)・もち(いる)・もと(める)・すべか(らく…べし)・しばら(く),必須(ひっす)
1080,図,9,囗,도,그림,ズ・ト,はか(る)・え,"図る(はかる), 図書館(ずしょかん), 地図(ちず), 意図(いと), 構図(こうず)"
1081,水,10,水,수,물,スイ,みず,"清水(きよみず), 降水確率(こうすいかくりつ), 降水量(こうすいりょう), 水準(すいじゅん), 水産(すいさん)"
1082,吹,4,口,취,"불다, 뿜다",スイ,ふ(く),"吹奏楽(すいそうがく), 吹く(ふく), 吹き替え(ふきかえ), 伊吹(いぶき), 笛吹(ふえふき)"
1083,垂,5,土,수,늘어지다,スイ,た(れる)・た(らす)・しだ(れる)・しで・なんなん(とする),"垂水(たるみ), 垂れ幕(たれまく), 垂れ(たれ), 垂直(すいちょく), 垂れ流し(たれながし)"
1084,炊,3,火,취,밥을 짓다,スイ,た(く)・かし(ぐ),"炊飯器(すいはんき), 炊く(たく), 炊き出し(たきだし), 雑炊(ぞうすい), 自炊(じすい)"
1085,帥,2.5,巾,수,"장수, 머리",スイ・ソツ,ひき(いる),
1086,粋,3,米,수,"순수, 세련되다",スイ,いき,"純粋(じゅんすい), 抜粋(ばっすい)"
1087,衰,3,衣,쇠,쇠퇴하다,スイ・サイ,おとろ(える),"衰え(おとろえ), 衰退(すいたい), 衰弱(すいじゃく), 衰える(おとろえる), 老衰(ろうすい)"
1088,推,5,手,추,"추리, 밀다, 추천하다",スイ,お(す),"推薦(すいせん), 推進(すいしん), 推定(すいてい), 推測(すいそく), 推移(すいい)"
1089,酔,3,酉,취,취하다,スイ,よ(う),"酔い(よい), 麻酔(ますい), 泥酔(でいすい), 酔う(よう), 全身麻酔(ぜんしんますい)"
1090,遂,3,辵,수,"이루다, 마침내",スイ,と(げる)・おお(せる)・つい(に),"未遂(みすい), 殺人未遂(さつじんみすい), 遂行(すいこう), 遂に(ついに), 自殺未遂(じさつみすい)"
1091,睡,2.5,目,수,졸음,スイ,ねむ(る),"睡眠(すいみん), 睡眠不足(すいみんぶそく), 睡眠時間(すいみんじかん), 睡眠薬(すいみんやく), レム睡眠(レムすいみん)"
1092,穂,3,禾,수,이삭,スイ,ほ,稲穂(いなほ)
1093,随,3,阜,수,따르다,ズイ,したが(う),"随分(ずいぶん), 随時(ずいじ), 随所(ずいしょ), 追随(ついずい), 随筆(ずいひつ)"
1094,髄,3,骨,수,뼛골,ズイ,無し,"脊髄(せきずい), 髄膜炎(ずいまくえん), 骨髄(こつずい), 神髄(しんずい)"
1095,枢,2.5,木,추,중심,スウ,とぼそ・かなめ,中枢(ちゅうすう)
1096,崇,2.5,山,숭,높다,スウ・シュウ,たか(い)・たっと(ぶ)・とうと(ぶ)・あが(める)・お(わる),
1097,数,9,攵,수,"수, 세다",スウ・ス・シュ・サク・ソク,かず・かぞ(える)・しばしば,"数年(すうねん), 複数(ふくすう), 多数(たすう), 数字(すうじ), 回数(かいすう)"
1098,据,2.5,手,거,"설치하다, 안정되다",キョ,す(える)・す(わる),"据え置き(すえおき), 見据える(みすえる), 据える(すえる), 据え置く(すえおく)"
1099,杉,2.5,木,삼,삼나무,サン,すぎ,"杉戸(すぎど), 小杉(こすぎ)"
1100,裾,2,衣,거,옷자락,キョ,すそ,裾野(すその)
1101,寸,5,寸,촌,마디,スン・ソン,わず(か)・き,"寸前(すんぜん), 寸評(すんぴょう), 寸断(すんだん), 寸劇(すんげき), 外形寸法(がいけいすんぼう)"
1102,瀬,3,水,뢰,여울,ライ,せ,"瀬戸(せと), 高瀬(たかせ), 瀬戸内海(せとないかい), 川瀬(かわせ), 年の瀬(としのせ)"
1103,是,4,日,시,옳다,ゼ・シ,これ・こ(の)・ただ(しい),"是非(ぜひ), 是正(ぜせい), 是非とも(ぜひとも), 定数是正(ていすうぜせい)"
1104,井,7,二,정,우물,セイ・ショウ,い・いげた,"天井(てんじょう), 井戸(いど), 三井住友(みついすみとも), 福井県(ふくいけん), 井守(いもり)"
1105,世,8,一,세,세상,セイ・セ,よ,"世界(せかい), 世代(せだい), 世紀(せいき), 世帯(せたい), 世の中(よのなか)"
1106,正,10,止,정,바르다,セイ・ショウ,ただ(しい)・ただ(す)・まさ,"正直(しょうじき), 正式(せいしき), 正社員(せいしゃいん), 正しい(ただしい), 不正(ふせい)"
1107,生,10,生,생,"살다, 태어나다, 나다",セイ・ショウ,い(きる)・い(かす)・い(ける)・う(まれる)・う(む)・お(う)・は(える)・は(やす)・き・なま・いのち・うぶ・な(る)・な(す),"生活(せいかつ), 生まれ(うまれ), 発生(はっせい), 先生(せんせい), 生徒(せいと)"
1108,成,7,戈,성,"이루다, 되다",セイ・ジョウ,な(る)・な(す),"成長(せいちょう), 完成(かんせい), 成功(せいこう), 達成(たっせい), 成績(せいせき)"
1109,西,9,襾,서,서쪽,セイ・サイ・スイ,にし,"関西(かんさい), 北西(ほくせい), 北北西(ほくほくせい), 西部(せいぶ), 西北西(せいほくせい)"
1110,声,9,士,성,소리,セイ・ショウ,こえ・こわ,"声優(せいゆう), 声明(しょうみょう), 歓声(かんせい), 声援(せいえん), 音声(おんじょう)"
1111,制,6,刀,제,절제,セイ,おさ(える),"制度(せいど), 制作(せいさく), 体制(たいせい), 規制(きせい), 制限(せいげん)"
1112,姓,4,女,성,성씨,セイ・ショウ,かばね,"旧姓(きゅうせい), 夫婦別姓(ふうふべっせい), 同姓(どうせい)"
1113,征,4,彳,정,치다,セイ,ゆ(く)・う(つ)・と(る),"遠征(えんせい), 征服(せいふく), 出征(しゅっせい)"
1114,性,6,心,성,성품,セイ・ショウ,さが・たち,"女性(じょせい), 男性(だんせい), 可能性(かのうせい), 性格(せいかく), 活性化(かっせいか)"
1115,青,10,青,청,파랑,セイ・ショウ,あお・あお(い),"青龍(しょうりょう), 青山(せいざん), 青木(あおき), 青年(せいねん), 青少年(せいしょうねん)"
1116,斉,2.5,斉,제,가지런하다,セイ・サイ,ととの(える)・ひと(しい)・ものいみ,"一斉に(いっせいに), 一斉(いっせい), 斉唱(せいしょう)"
1117,政,6,攵,정,국정,セイ・ショウ,まつりごと,"政府(せいふ), 政権(せいけん), 政治(せいじ), 政策(せいさく), 政党(せいとう)"
1118,星,9,日,성,별,セイ・ショウ,ほし,"星空(ほしぞら), 衛星(えいせい), 惑星(わくせい), 人工衛星(じんこうえいせい), 白星(しろぼし)"
1119,牲,3,牛,생,희생,セイ,いけにえ,"犠牲(ぎせい), 犠牲者(ぎせいしゃ), 犠牲フライ(ぎせいフライ)"
1120,省,7,目,성,"줄이다, 반성하다",セイ・ショウ,かえり(みる)・はぶ(く),"反省(はんせい), 厚生労働省(こうせいろうどうしょう), 外務省(がいむしょう), 同省(どうしょう), 厚労省(こうろうしょう)"
1121,凄,2,冫,처,"처참하다, 굉장하다",セイ,すさ(まじい)・すご(い)・すご(む)・さむ(い),"凄い(すごい), 凄く(すごく), 物凄い(ものすごい), 凄まじい(すさまじい)"
1122,逝,2.5,辵,서,죽다,セイ,ゆ(く)・い(く),急逝(きゅうせい)
1123,清,7,水,청,"맑다, 깨끗이 하다",セイ・ショウ・シン,きよ(い)・きよ(まる)・きよ(める)・さや(か)・す(む),"清水(きよみず), 清掃(せいそう), 清潔(せいけつ), 日清(にっしん), 清算(せいさん)"
1124,盛,5,皿,성,"쌓아 올리다, 활발하다",セイ・ジョウ,も(る)・さか(る)・さか(ん),"盛り(さかり), 盛ん(さかん), 盛り上がり(もりあがり), 盛り込む(もりこむ), 盛り上がる(もりあがる)"
1125,婿,3,女,서,사위,セイ,むこ,花婿(はなむこ)
1126,晴,9,日,청,맑다,セイ,は(れる)・は(らす),"素晴らしい(すばらしい), 晴れ(はれ), 晴れて(はれて), 晴天(せいてん), 晴れやか(はれやか)"
1127,勢,6,力,세,"기세, 세력",セイ・セ,いきお(い),"姿勢(しせい), 勢い(いきおい), 大勢(おおぜい), 情勢(じょうせい), 勢力(せいりょく)"
1128,聖,5,耳,성,신성,セイ・ショウ,ひじり,"聖地(せいち), 聖火(せいか), 聖戦(せいせん), 聖火リレー(せいかリレー), 聖剣(せいけん)"
1129,誠,5,言,성,"성의, 정성",セイ・ジョウ,まこと,"誠実(せいじつ), 誠意(せいい), 誠に(まことに), 不誠実(ふせいじつ)"
1130,精,6,米,정,정신,セイ・ショウ,しら(げる)・くわ(しい)・もののけ,"精神的(せいしんてき), 精神(せいしん), 精神科(せいしんか), 精いっぱい(せいいっぱい), 精度(せいど)"
1131,製,6,衣,제,짓다,セイ,つく(る),"製作(せいさく), 製品(せいひん), 製造(せいぞう), 製造業(せいぞうぎょう), 特製(とくせい)"
1132,誓,2.5,言,서,맹세하다,セイ・ゼイ,ちか(う),"誓い(ちかい), 誓う(ちかう), 宣誓(せんせい), 誓って(ちかって), 誓約書(せいやくしょ)"
1133,静,7,青,정,"조용하다, 가라앉다",セイ・ジョウ,しず・しず(か)・しず(まる)・しず(める),"静岡(しずおか), 冷静(れいせい), 静岡県(しずおかけん), 静か(しずか), 静かに(しずかに)"
1134,請,3,言,청,"청하다, 떠맡다",セイ・シン・ショウ,こ(う)・う(ける),"要請(ようせい), 申請(しんせい), 請求(せいきゅう), 下請け(したうけ), 申請書(しんせいしょ)"
1135,整,8,攵,정,정리하다,セイ,ととの(える)・ととの(う),"調整(ちょうせい), 整備(せいび), 整理(せいり), 整え(ととのえ), 整える(ととのえる)"
1136,醒,2,酉,성,깨닫다,セイ,さ(める)・さ(ます),覚醒(かくせい)
1137,税,6,禾,세,세금,ゼイ・セイ,みつぎ,"税金(ぜいきん), 税込(ぜいこみ), 消費税(しょうひぜい), 減税(げんぜい), 課税(かぜい)"
1138,夕,10,夕,석,저녁,セキ,ゆう,"夕刊(ゆうかん), 夕方(ゆうがた), 夕食(ゆうしょく), 日夕(にっせき), 夕飯(ゆうはん)"
1139,斥,3,斤,척,물리치다,セキ,しりぞ(ける)・うかが(う),
1140,石,10,石,석,돌,セキ・シャク・コク・ジャク,いし,"石油(せきゆ), 白石(しろいし), 石綿(いしわた), 石川県(いしかわけん), 石垣(いしがき)"
1141,赤,10,赤,적,"빨강, 아기",セキ・シャク,あか・あか(い)・あか(らむ)・あか(らめる),"赤ちゃん(あかちゃん), 赤字(あかじ), 赤い(あかい), 財政赤字(ざいせいあかじ), 真っ赤(まっか)"
1142,昔,8,日,석,옛날,セキ・シャク,むかし,"昔ながら(むかしながら), 昔話(むかしばなし), 一昔前(ひとむかしまえ), 大昔(おおむかし), 昔のこと(むかしのこと)"
1143,析,2.5,木,석,쪼개다,セキ,さ(く)・わ(ける)・わ(かれる),"分析(ぶんせき), 解析(かいせき), 透析(とうせき), 人工透析(じんこうとうせき)"
1144,席,7,巾,석,자리,セキ,むしろ,"出席(しゅっせき), 議席(ぎせき), 打席(だせき), 欠席(けっせき), 首席(しゅせき)"
1145,脊,2,肉,척,척추,セキ,せ・せい,"脊髄(せきずい), 脊柱(せきちゅう)"
1146,隻,3,隹,척,외짝,セキ,ひと(つ),
1147,惜,3,心,석,아깝다,セキ・シャク,お(しい)・お(しむ),"惜敗(せきはい), 惜しい(おしい), 惜しくも(おしくも), 惜敗率(せきはいりつ), 惜しむ(おしむ)"
1148,戚,2,戈,척,겨레,セキ,みうち・いた(む)・うれ(える),親戚(しんせき)
1149,責,6,貝,책,꾸짖다,セキ・シャク,せ(める),"責任(せきにん), 責任者(せきにんしゃ), 責め(せめ), 無責任(むせきにん), 責任感(せきにんかん)"
1150,跡,4,足,적,자취,セキ・シャク,あと,"遺跡(いせき), 追跡(ついせき), 奇跡(きせき), 跡地(あとち), 軌跡(きせき)"
1151,積,7,禾,적,쌓다,セキ・シ・シャク,つ(む)・つ(もる)・たくわ(える),"積極的(せっきょくてき), 面積(めんせき), 積み重ね(つみかさね), 積雪(せきせつ), 蓄積(ちくせき)"
1152,績,6,糸,적,업적,セキ,つむ(ぐ)・う(む)・いさお,"成績(せいせき), 実績(じっせき), 業績(ぎょうせき), 功績(こうせき), 戦績(せんせき)"
1153,籍,3,竹,적,문서,セキ・ジャク,ふみ・し(く)・ふ(む),"移籍(いせき), 書籍(しょせき), 在籍(ざいせき), 国籍(こくせき), 戸籍(こせき)"
1154,切,9,刀,"절, 체","끊다, 자르다",セツ・サイ,き(る)・き(れる),"大切(たいせつ), 切り(きり), 切れ(きれ), 大切に(たいせつに), 一切(いっさい)"
1155,折,7,手,절,꺾다,セツ・シャク,お(る)・おり・お(れる)・くじ(ける)・さだ(める),"折り(おり), 骨折(こっせつ), 時折(ときおり), 挫折(ざせつ), 右折(うせつ)"
1156,拙,2.5,手,졸,형편없다,セツ,つたな(い)・まず(い),"拙速(せっそく), 稚拙(ちせつ)"
1157,窃,2.5,穴,절,훔치다,セツ,ぬす(む)・ひそ(かに),"窃盗(せっとう), 窃盗罪(せっとうざい)"
1158,接,6,手,접,잇다,セツ・ショウ,つ(ぐ)・は(ぐ)・まじ(わる)・もてな(す),"直接(ちょくせつ), 接種(せっしゅ), 面接(めんせつ), 接続(せつぞく), 接触(せっしょく)"
1159,設,6,言,설,설치하다,セツ・セチ,もう(ける)・しつら(える),"施設(しせつ), 設置(せっち), 設定(せってい), 建設(けんせつ), 設立(せつりつ)"
1160,雪,9,雨,설,눈,セツ,ゆき・すす(ぐ)・そそ(ぐ),"大雪(おおゆき), 積雪(せきせつ), 雪辱(せつじょく), 風雪(ふうせつ), 積雪量(せきせつりょう)"
1161,摂,3,手,섭,다스리다,セツ・ショウ,と(る)・か(ねる)・か(わる),"摂取(せっしゅ), 摂食障害(せっしょくしょうがい), 摂る(とる)"
1162,節,7,竹,절,마디,セツ・セチ,ふし・みさお・ノット,"季節(きせつ), 節分(せちぶん), 節約(せつやく), 節目(ふしめ), 関節(かんせつ)"
1163,説,7,言,설,"설명, 말하다, 해석하다",セツ・ゼイ・エツ,と(く)・よろこ(ぶ),"説明(せつめい), 小説(しょうせつ), 解説(かいせつ), 演説(えんぜつ), 伝説(でんせつ)"
1164,舌,5,舌,설,혀,ゼツ・セツ,した・ことば,"舌鼓(したつづみ), 舌戦(ぜっせん), 毒舌(どくぜつ)"
1165,絶,6,糸,절,"끊다, 끝나다",ゼツ・ゼチ・セツ,た(える)・た(やす)・た(つ)・はなは(だ)・わた(る),"絶対(ぜったい), 絶対に(ぜったいに), 絶賛(ぜっさん), 絶滅(ぜつめつ), 絶妙(ぜつみょう)"
1166,千,10,十,천,1000,セン,ち,"千葉(ちば), 千代(せんだい), 千葉県(ちばけん), 数千(すうせん), 千円(せんえん)"
1167,川,10,川,천,강,セン,かわ,"川崎(かわさき), 谷川(たにがわ), 神奈川県(かながわけん), 川口(かわぐち), 小川(おがわ)"
1168,仙,2.5,人,선,신선,セン,無し,"仙台(せんだい), 仙人(せんにん), 水仙(すいせん)"
1169,占,4,卜,점,"점치다, 차지하다",セン,し(める)・うらな(う),"占める(しめる), 独占(どくせん), 占めた(しめた), 占い(うらない), 占領(せんりょう)"
1170,先,10,儿,선,먼저,セン,さき・ま(ず),"先生(せんせい), 先輩(せんぱい), 先に(さきに), 先制(せんせい), 優先(ゆうせん)"
1171,宣,5,宀,선,베풀다,セン,の(べる)・のたま(う),"宣言(せんげん), 宣伝(せんでん), 宣誓(せんせい), 宣告(せんこく), 宣伝部(せんでんぶ)"
1172,専,5,寸,전,오로지,セン,もっぱ(ら)・ほしいまま,"専用(せんよう), 専門(せんもん), 専門家(せんもんか), 専業主婦(せんぎょうしゅふ), 専務(せんむ)"
1173,泉,5,水,천,샘,セン,いずみ,"温泉(おんせん), 源泉(げんせん), 源泉徴収(げんせんちょうしゅう), 温泉地(おんせんち), 小泉チルドレン(こいずみチルドレン)"
1174,浅,7,水,천,얕다,セン,あさ(い),"浅い(あさい), 浅見(せんけん), 浅はか(あさはか), 浅瀬(あさせ)"
1175,洗,5,水,세,씻다,セン,あら(う),"洗濯(せんたく), 洗い(あらい), 洗う(あらう), 洗顔(せんがん), 手洗い(てあらい)"
1176,染,5,木,염,"물들다, 번지다",セン・ゼン,そ(める)・そ(まる)・し(みる)・し(み),"感染(かんせん), 感染者(かんせんしゃ), 感染症(かんせんしょう), 染め(そめ), 汚染(おせん)"
1177,扇,4,戸,선,부채,セン,おうぎ・あお(ぐ)・おだ(てる),"換気扇(かんきせん), 扇子(せんす), 扇風機(せんぷうき), 扇動(せんどう)"
1178,栓,2.5,木,전,마개,セン,無し,"血栓(けっせん), 耳栓(みみせん)"
1179,旋,2.5,方,선,돌다,セン,めぐ(る),"旋風(せんぷう), 凱旋(がいせん), 旋律(せんりつ), 旋回(せんかい)"
1180,船,9,舟,선,배,セン,ふね・ふな,"漁船(ぎょせん), 船橋(せんきょう), 船舶(せんぱく), 船出(ふなで), 宇宙船(うちゅうせん)"
1181,戦,7,戈,전,"싸움, 싸우다",セン,いくさ・たたか(う)・おのの(く)・そよ(ぐ),"回戦(かいせん), 対戦(たいせん), 挑戦(ちょうせん), 戦い(たたかい), 戦闘(せんとう)"
1182,煎,2,火,전,"볶다, 지지다",セン,い(る)・に(る),"煎餅(せんべい), 煎茶(せんちゃ)"
1183,羨,2,羊,선,부럽다,セン・ゼン・エン,うらや(む)・うらや(ましい)・あま(る)・はかみち,羨ましい(うらやましい)
1184,腺,2,肉,선,샘,セン,すじ,"甲状腺(こうじょうせん), 前立腺(ぜんりつせん), 乳腺(にゅうせん)"
1185,詮,2,言,전,설명하다,セン,あきらか・しら(べる)・そな(わる)・えら(ぶ),"所詮(しょせん), 詮索(せんさく)"
1186,践,2.5,足,천,밟다,セン,ふ(む),"実践(じっせん), 実践的(じっせんてき)"
1187,䇳,2,竹,전,기록하다,セン,ふだ・はりふだ・なふだ・ときあ(かし)・てがみ・かきもの,
1188,銭,5,金,전,돈,セン・ゼン,ぜに・すき,"金銭(きんせん), 銭湯(せんとう), 小銭(こぜに), 金銭感覚(きんせんかんかく), さい銭(さいせん)"
1189,潜,3,水,잠,"숨다, 잠수하다",セン,ひそ(む)・もぐ(る)・くぐ(る),"潜入(せんにゅう), 潜水艦(せんすいかん), 潜在(せんざい), 潜在的(せんざいてき), 潜む(ひそむ)"
1190,線,9,糸,선,"줄, 선",セン,いと・すじ,"路線(ろせん), 打線(だせん), 新幹線(しんかんせん), 紫外線(しがいせん), 目線(めせん)"
1191,遷,2.5,辵,천,옮기다,セン,うつ(る)・うつ(す),"遷都(せんと), 変遷(へんせん), 左遷(させん)"
1192,選,7,辵,선,고르다,セン,えら(ぶ)・え(る)・よ(る)・すぐ(る),"選手(せんしゅ), 選挙(せんきょ), 当選(とうせん), 選択(せんたく), 予選(よせん)"
1193,薦,2.5,艸,천,추천하다,セン,すす(める)・こも・し(く)・しき(りに),"推薦(すいせん), お薦め(おすすめ), 薦め(すすめ), 薦める(すすめる), 推薦書(すいせんしょ)"
1194,繊,2.5,糸,섬,가늘다,セン・チン,ほそ(い)・ちい(さい)・しな(やか),"繊細(せんさい), 繊維(せんい), 化学繊維(かがくせんい), 食物繊維(しょくもつせんい), 炭素繊維(たんそせんい)"
1195,鮮,4,魚,선,선명함,セン,あざ(やか)・あたら(しい)・すく(ない),"北朝鮮(きたちょうせん), 新鮮(しんせん), 朝鮮(ちょうせん), 鮮やか(あざやか), 鮮明(せんめい)"
1196,全,8,入,전,"전부, 전혀",ゼン・セン,まった(く)・すべ(て),"全国(ぜんこく), 安全(あんぜん), 全く(まったく), 全体(ぜんたい), 全員(ぜんいん)"
1197,前,9,刀,전,앞,ゼン・セン,まえ・さき,"前に(まえに), 午前(ごぜん), 名前(なまえ), 前回(ぜんかい), 以前(いぜん)"
1198,善,5,口,선,"착하다, 좋다",ゼン・セン,よ(い),"改善(かいぜん), 最善(さいぜん), 関係改善(かんけいかいぜん), 親善試合(しんぜんじあい), 善意(ぜんい)"
1199,然,7,火,연,당연,ゼン・ネン,しか(り)・しか(し)・しか(も)・も(える),"自然(しぜん), 当然(とうぜん), 突然(とつぜん), 全然(ぜんぜん), 自然に(しぜんに)"
1200,禅,2.5,示,선,선,ゼン・セン,ゆず(る),"禅寺(ぜんでら), 座禅(ざぜん)"
1201,漸,2.5,水,점,점차,ゼン・ザン,ようや(く)・すす(む)・やや,
1202,膳,2,肉,선,밥상,ゼン・セン,そな(える)・かしわ,
1203,繕,3,糸,선,수선하다,ゼン・セン,つくろ(う),"修繕(しゅうぜん), 修繕費(しゅうぜんひ)"
1204,狙,2,犬,저,노리다,ソ,ねら(う)・さる,"狙い(ねらい), 狙う(ねらう), 狙撃(そげき), 狙い撃ち(ねらいうち)"
1205,阻,3,阜,조,막다,ソ,はば(む)・けわ(しい)・へだ(たる),"阻止(そし), 阻害(そがい), 悪阻(おそ), 阻む(はばむ)"
1206,祖,6,示,조,조상,ソ,おや・じじ・はじ(め),"祖母(うば), 祖父(おおじ), 祖父母(そふぼ), 元祖(がんそ), 先祖(せんぞ)"
1207,租,2.5,禾,조,조세,ソ,みつぎ・ちんが(り),租税(そぜい)
1208,素,6,糸,소,요소,ソ・ス,もと・もと(より)・しろ(い),"要素(ようそ), 素晴らしい(すばらしい), 素敵(すてき), 素材(そざい), 素直(すなお)"
1209,措,3,手,조,조치,ソ,お(く)・はか(らう),"措置(そち), 特別措置(とくべつそち), 特措(とくそ), 対抗措置(たいこうそち)"
1210,粗,3,米,조,"결점, 조잡하다",ソ,あら(い)・ほぼ,"お粗末(おそまつ), 粗末(そまつ), 骨粗鬆症(こつそしょうしょう), 粗い(あらい)"
1211,組,9,糸,조,짜다,ソ,く(む)・くみ・くみひも,"組織(そしき), 番組(ばんぐみ), 取り組み(とりくみ), 仕組み(しくみ), 取り組む(とりくむ)"
1212,疎,2.5,疋,소,"소원하다, 멀리하다, 소홀함",ソ・ショ,うと(い)・うと(む)・まば(ら)・うろ・おろ・おろそ(か)・おろ(か)・とお(る)・とお(す),"疎遠(そえん), 過疎(かそ), 意思疎通(いしそつう), 過疎化(かそか), 疎開(そかい)"
1213,訴,4,言,소,호소하다,ソ,うった(える),"訴え(うったえ), 起訴(きそ), 訴訟(そしょう), 訴える(うったえる), 提訴(ていそ)"
1214,塑,2.5,土,소,빚다,ソ,でく,
1215,遡,2,辵,소,거슬러 올라가다,ソ,さかのぼ(る)・む(かう),"遡及(さっきゅう), 遡上(そじょう)"
1216,礎,3,石,초,주춧돌,ソ,いしずえ,"基礎(きそ), 基礎的(きそてき), 基礎知識(きそちしき), 基礎体温(きそたいおん), 基礎控除(きそこうじょ)"
1217,双,3,又,쌍,쌍,ソウ,ふた・ふた(つ)・たぐい・もろ・なら(ぶ),"双方(そうほう), 無双(むそう), 双子(そうし), 双葉(ふたば), 双方向(そうほうこう)"
1218,壮,2.5,士,장,장하다,ソウ,さか(ん),"壮行会(そうこうかい), 壮大(そうだい), 勇壮(ゆうそう), 壮絶(そうぜつ), 悲壮(ひそう)"
1219,早,10,日,조,"이르다, 빨라지다",ソウ・サッ,はや(い)・はや(まる)・はや(める)・さ,"早く(はやく), 早い(はやい), 早期(そうき), 早朝(そうちょう), 早稲田(わさだ)"
1220,争,7,亅,쟁,다투다,ソウ,あらそ(う)・いさ(める),"戦争(せんそう), 競争(きょうそう), 争い(あらそい), 争点(そうてん), 争う(あらがう)"
1221,走,9,走,주,달리다,ソウ,はし(る),"走り(はしり), 走る(はしる), 走って(はしって), 走者(そうしゃ), 滑走(かっそう)"
