순번,한자,급수,부수,음,훈,音,訓,예시 단어
76,鋭,4,金,예,"날카롭다, 예리하다",エイ,するど(い)・はや(い),"鋭い(するどい), 新鋭(しんえい), 最新鋭(さいしんえい), 精鋭(せいえい), 気鋭(きえい)"
77,衛,6,行,위,지키다,エイ・エ,まも(る),"防衛(ぼうえい), 自衛隊(じえいたい), 防衛相(ぼうえいしょう), 防衛省(ぼうえいしょう), 衛星(えいせい)"
78,易,6,日,"역, 이","쉽다, 바꿈",エキ・イ,やさ(しい)・か(える)・か(わる)・やす(い)・あなど(る),"難易度(なんいど), 貿易(ぼうえき), 容易(ようい), 安易(あんい), 簡易(かんい)"
79,疫,2.5,疒,역,전염병,エキ・ヤク,無し,"免疫(めんえき), 検疫(けんえき), 検疫所(けんえきしょ), 疫学(えきがく), 検疫官(けんえきかん)"
80,益,6,皿,익,이익,エキ・ヤク,ま(す)・ますます,"利益(りえき), 収益(しゅうえき), 営業利益(えいぎょうりえき), 損益(そんえき), 不利益(ふりえき)"
81,液,6,水,액,액체,エキ,しる・わき,"液晶(えきしょう), 血液(けつえき), 液体(えきたい), 血液検査(けつえきけんさ), 液晶テレビ(えきしょうテレビ)"
82,駅,8,馬,역,정거장,エキ,うまや,"駅伝(えきでん), 駅前(えきまえ), 駅弁(えきべん), 道の駅(みちのえき), 駅伝競走(えきでんきょうそう)"
83,悦,3,心,열,기쁘다,エツ,よろこ(ぶ),
84,越,4,走,월,넘다,エツ・オチ・オツ,こ(す)・こ(える)・こし,"中越(ちゅうごし), 引っ越し(ひっこし), 越し(ごし), 勝ち越し(かちこし), 信越(しんえつ)"
85,謁,2.5,言,알,뵈다,エツ,まみ(える),
86,閲,3,門,열,보다,エツ,けみ(する)・へ(る),"閲覧(えつらん), 検閲(けんえつ)"
87,円,10,冂,원,"둥글다, 화폐 단위",エン,まる(い)・まど(か)・つぶら(か)・まろ(やか),"万円(まんえん), 億円(おくえん), １０００円(せんえん), １万円(いちまんえん), 円か(まどか)"
88,延,5,廴,연,"길어지다, 늦추다, 늘이다",エン,の(びる)・の(べる)・の(ばす)・ひ(く)・は(え),"延長(えんちょう), 延べ(のべ), 延期(えんき), 順延(じゅんえん), 延長戦(えんちょうせん)"
89,沿,5,水,연,물을 따르다,エン,そ(う)・ふち,"沿岸(えんがん), 沿い(ぞい), に沿って(にそって), 沿線(えんせん), 沿道(えんどう)"
90,炎,3,火,염,화염,エン,ほのお・も(える),"肺炎(はいえん), 炎上(えんじょう), 肝炎(かんえん), 炎症(えんしょう), Ｃ型肝炎(シーがたかんえん)"
91,怨,2,心,원,원망하다,エン・オン,うら(む)・うら(み),呪怨(じゅおん)
92,宴,3,宀,연,잔치,エン,うたげ・たの(しむ),"披露宴(ひろうえん), 宴会(えんかい), 宴席(えんせき), 結婚披露宴(けっこんひろうえん), 宴会場(えんかいじょう)"
93,媛,7,女,원,여자,エン,ひめ,愛媛県(えひめけん)
94,援,4,手,원,돕다,エン,たす(ける)・ひ(く),"支援(しえん), 応援(おうえん), 援助(えんじょ), 声援(せいえん), 後援会(こうえんかい)"
95,園,9,囗,원,동산,エン・オン,その・にわ,"甲子園(こうしえん), 学園(がくえん), 公園(こうえん), 幼稚園(ようちえん), 保育園(ほいくえん)"
96,煙,4,火,연,연기,エン,けむ(る)・けむり・けむ(い)・けぶ(る)・けむ,"禁煙(きんえん), 喫煙(きつえん), 喫煙者(きつえんしゃ), 煙草(たばこ), 噴煙(ふんえん)"
97,猿,2.5,犬,원,원숭이,エン,さる・ましら,
98,遠,9,辵,원,멀다,エン・オン,とお(い)・おち,"遠く(とおく), 遠い(とおい), 遠征(えんせい), 永遠(えいえん), 遠慮(えんりょ)"
99,鉛,4,金,연,납,エン,なまり・おしろい,"鉛筆(えんぴつ), 黒鉛(こくえん), 亜鉛(あえん)"
100,塩,7,土,염,소금,エン・アン,しお,"塩分(えんぶん), 塩田(えんでん), 塩味(しおあじ), 塩漬け(しおづけ), 塩尻(しおじり)"
101,演,6,水,연,공연,エン,の(べる)・おこな(う),"出演(しゅつえん), 主演(しゅえん), 演出(えんしゅつ), 演説(えんぜつ), 演技(えんぎ)"
102,縁,4,糸,연,"테두리, 인연",エン,ふち・へり・よ(る)・えにし・ゆかり・よすが,"絶縁(ぜつえん), 無縁(むえん), 縁起物(えんぎもの), 因縁(いんえん), 復縁(ふくえん)"
103,艶,2,色,염,"광택, 애교, 곱다",エン,つや・なまめ(かしい)・あで(やか)・うらや(む),
104,汚,4,水,오,더럽다,オ,けが(す)・けが(れる)・けが(らわしい)・よご(す)・よご(れる)・きたな(い),"汚れ(けがれ), 汚染(おせん), 汚い(きたない), 汚職(おしょく), 大気汚染(たいきおせん)"
105,王,10,玉,왕,임금,オウ,きみ,"王子(おうじ), 王者(おうじゃ), 王国(おうこく), 女王(じょおう), 王将(おうしょう)"
106,凹,2.5,凵,요,오목하다,オウ,くぼ(む)・へこ(む)・へこ(ます),"凹凸(おうとつ), 凹み(くぼみ), 凸凹(でこぼこ)"
107,央,8,大,앙,가운데,オウ,なか(ば),"中央(ちゅうおう), 中央銀行総裁(ちゅうおうぎんこうそうさい), 中央病院(ちゅうおうびょういん), 中央銀行(ちゅうおうぎんこう), 中央線(ちゅうおうせん)"
108,応,6,心,응,응하다,オウ,こた(える)・まさ(に…べし),"対応(たいおう), 応援(おうえん), 応募(おうぼ), 反応(はんのう), に応じて(におうじて)"
109,往,6,彳,왕,가다,オウ,ゆ(く)・いにしえ,"往復(おうふく), 往路(おうろ), 往年(おうねん), 往来(おうらい), 立ち往生(たちおうじょう)"
110,押,4,手,압,누르다,オウ,お(す)・お(さえる),"押し(おし), 押す(おす), 後押し(あとおし), 押さえ(おさえ), 押して(おして)"
111,旺,2,日,왕,왕성,オウ,さか(ん),"旺盛(おうせい), 好奇心旺盛(こうきしんおうせい)"
112,欧,3,欠,구,유럽,オウ,は(く),"欧州(おうしゅう), 欧米(おうべい), 欧州連合(おうしゅうれんごう), 欧洲(おうしゅう), 北欧(ほくおう)"
