순번,한자,구자,급수,부수,음,훈,内音,内訓,外音,外訓,音,訓
1260,臓,臟,5,肉,장,장기,ゾウ,,ソウ,はらわた,ゾウ・ソウ,はらわた
1261,即,卽,4,卩,즉,곧,ソク,,ショク,つ(く)・すなわ(ち),ソク・ショク,つ(く)・すなわ(ち)
1262,束,,7,木,속,"약속, 묶음, 다발",ソク,たば,,つか・つか(ねる),ソク,たば・つか・つか(ねる)
1263,足,,10,足,족,"발, 충분하다, 만족하다, 더하다",ソク,あし・た(りる)・た(る)・た(す),,,ソク,あし・た(りる)・た(る)・た(す)
1264,促,,3,人,촉,재촉하다,ソク,うなが(す),,せま(る),ソク,うなが(す)・せま(る)
1265,則,,6,刀,칙,법칙,ソク,,,のり・のっと(る)・すなわ(ち),ソク,のり・のっと(る)・すなわ(ち)
1266,息,,8,心,식,숨,ソク,いき,,やす(む),ソク,いき・やす(む)
1267,捉,,2,手,착,붙잡다,ソク,とら(える),,つか(まえる)・と(る),ソク,とら(える)・つか(まえる)・と(る)
1268,速,速,8,辵,속,빠르다,ソク,はや(い)・はや(める)・はや(まる)・すみ(やか),,,ソク,はや(い)・はや(める)・はや(まる)・すみ(やか)
1269,側,,7,人,측,"측, 쪽",ソク,がわ,ショク,そば・はた・かたわ(ら),ソク・ショク,がわ・そば・はた・かたわ(ら)
1270,測,,6,水,측,측정하다,ソク,はか(る),,,ソク,はか(る)
1271,俗,,4,人,속,풍속,ゾク,,,なら(わし)・いや(しい),ゾク,なら(わし)・いや(しい)
1272,族,,8,方,족,겨례,ゾク,,,やから,ゾク,やから
1273,属,屬,6,尸,속,무리,ゾク,,ショク,つ(く)・やから,ゾク・ショク,つ(く)・やから
1274,賊,,3,貝,적,도둑,ゾク,,,そこ(なう)・わるもの,ゾク,そこ(なう)・わるもの
1275,続,續,7,糸,속,계속하다,ゾク,つづ(く)・つづ(ける),ショク,つ(ぐ),ゾク・ショク,つづ(く)・つづ(ける)・つ(ぐ)
1276,卒,,7,十,졸,마침,ソツ,,シュツ,しもべ・お(わる)・お(える)・にわ(かに)・つい(に),ソツ・シュツ,しもべ・お(わる)・お(える)・にわ(かに)・つい(に)
1277,率,,6,玄,"솔, 율","이끌다, 비율",ソツ・リツ,ひき(いる),スイ・シュツ,したが(う)・おおむ(ね)・わりあい・かしら,ソツ・リツ・スイ・シュツ,ひき(いる)・したが(う)・おおむ(ね)・わりあい・かしら
1278,存,,5,子,존,있다,ソン・ゾン,,,あ(る)・たも(つ)・ながら(える)・と(う),ソン・ゾン,あ(る)・たも(つ)・ながら(える)・と(う)
1279,村,,10,木,촌,마을,ソン,むら,,,ソン,むら
1280,孫,,7,子,손,손자,ソン,まご,,,ソン,まご
1281,尊,尊,5,寸,존,"귀중하다, 존중하다",ソン,たっと(い)・とうと(い)・たっと(ぶ)・とうと(ぶ),,みこと,ソン,たっと(い)・とうと(い)・たっと(ぶ)・とうと(ぶ)・みこと
1282,損,,6,手,손,"손해, 손상하다, 해치다",ソン,そこ(なう)・そこ(ねる),,へ(る),ソン,そこ(なう)・そこ(ねる)・へ(る)
1283,遜,,2,辵,손,겸손하다,ソン,,,へりくだ(る)・ゆず(る)・のが(れる),ソン,へりくだ(る)・ゆず(る)・のが(れる)
1284,他,,8,人,타,다른 것,タ,ほか,,,タ,ほか
1285,多,,9,夕,다,많다,タ,おお(い),,,タ,おお(い)
1286,汰,,2,水,태,일다,タ,,タイ,よな(げる)・にご(る)・おご(る),タ・タイ,よな(げる)・にご(る)・おご(る)
1287,打,,8,手,타,때리다,ダ,う(つ),チョウ・テイ,ぶ(つ)・ダース,ダ・チョウ・テイ,う(つ)・ぶ(つ)・ダース
1288,妥,,2.5,女,타,타당,ダ,,タ,やす(らか)・おだ(やか),ダ・タ,やす(らか)・おだ(やか)
1289,唾,,2,口,타,침착하다,ダ,つば,タ,,ダ・タ,つば
1290,堕,墮,2.5,土,타,떨어지다,ダ,,,お(ちる)・こぼ(つ),ダ,お(ちる)・こぼ(つ)
1291,惰,,2.5,心,타,게으르다,ダ,,タ,おこた(る),ダ・タ,おこた(る)
1292,駄,,2.5,馬,태,헛됨,ダ,,タ,の(せる),ダ・タ,の(せる)
1293,太,,9,大,태,"굵다, 살찌다",タイ・タ,ふと(い)・ふと(る),ダイ,はなは(だ),タイ・タ・ダイ,ふと(い)・ふと(る)・はなは(だ)
1294,対,對,8,寸,대,대하다,タイ・ツイ,,,む(かう)・つれあい・こた(える)・そろ(い),タイ・ツイ,む(かう)・つれあい・こた(える)・そろ(い)
1295,体,體,9,人,체,몸,タイ・テイ,からだ,,,タイ・テイ,からだ
1296,耐,,4,而,내,견디다,タイ,た(える),,,タイ,た(える)
1297,待,,8,彳,대,기다리다,タイ,ま(つ),,,タイ,ま(つ)
1298,怠,,3,心,태,"게으르다, 나른하다",タイ,おこた(る)・なま(ける),,だる(い),タイ,おこた(る)・なま(ける)・だる(い)
1299,胎,,3,肉,태,아이배다,タイ,,,はら(む),タイ,はら(む)
1300,退,退,5,辵,퇴,"물러나다, 물리치다",タイ,しりぞ(く)・しりぞ(ける),,の(く)・の(ける)・すさ(る)・しさ(る)・ひ(く),タイ,しりぞ(く)・しりぞ(ける)・の(く)・の(ける)・すさ(る)・しさ(る)・ひ(く)
1301,帯,帶,7,巾,대,"띠, 차다",タイ,お(びる)・おび,,,タイ,お(びる)・おび
1302,泰,,2.5,水,태,태연하다,タイ,,,やす(い)・やす(らか)・おご(る),タイ,やす(い)・やす(らか)・おご(る)
1303,堆,,2,土,퇴,쌓이다,タイ,,ツイ,うずたか(い),タイ・ツイ,うずたか(い)
1304,袋,,3,衣,대,주머니,タイ,ふくろ,テイ,,タイ・テイ,ふくろ
1305,逮,逮,3,辵,체,잡다,タイ,,,およ(ぶ)・とら(える),タイ,およ(ぶ)・とら(える)
1306,替,,4,曰,체,바꾸다,タイ,か(える)・か(わる),テイ,,タイ・テイ,か(える)・か(わる)
1307,貸,,6,貝,대,빌려주다,タイ,か(す),,,タイ,か(す)
1308,隊,隊,7,阜,대,무리,タイ,,ツイ,くみ・お(ちる),タイ・ツイ,くみ・お(ちる)
1309,滞,滯,3,水,체,"밀리다, 막히다, 머무르다",タイ,とどこお(る),,,タイ,とどこお(る)
1310,態,,6,心,태,모습,タイ,,テイ,さま・わざ(と),タイ・テイ,さま・わざ(と)
1311,戴,,2,戈,대,이다,タイ,,,いただ(く),タイ,いただ(く)
1312,大,,10,大,대,크다,ダイ・タイ,おお・おお(きい)・おお(いに),タ・ダ,,ダイ・タイ・タ・ダ,おお・おお(きい)・おお(いに)
1313,代,,8,人,대,대신하다,ダイ・タイ,か(わる)・か(える)・よ・しろ,,,ダイ・タイ,か(わる)・か(える)・よ・しろ
1314,台,臺,9,口,"대, 태","대, 태",ダイ・タイ,,,うてな・しもべ,ダイ・タイ,うてな・しもべ
1315,第,,8,竹,제,차례,ダイ,,テイ,つい(で)・やしき,ダイ・テイ,つい(で)・やしき
1316,題,,8,頁,제,제목,ダイ,,テイ,,ダイ・テイ,無し
1317,滝,瀧,3,水,롱,적시다,,たき,ロウ,,ロウ,たき
1318,宅,,5,宀,"댁, 택",집,タク,,,いえ・やけ,タク,いえ・やけ
1319,択,擇,3,手,택,고르다,タク,,,えら(ぶ)・よ(る),タク,えら(ぶ)・よ(る)
1320,沢,澤,4,水,택,"못, 빛나다",タク,さわ,,うるお(う)・つや,タク,さわ・うるお(う)・つや
1321,卓,,3,十,탁,책상,タク,,シツ,つくえ・すぐ(れる),タク・シツ,つくえ・すぐ(れる)
1322,拓,,4,手,"척, 탁",넓히다,タク,,,ひら(く),タク,ひら(く)
1323,託,,3,言,탁,"부탁, 한탄하다",タク,,,ことづ(かる)・かこつ(ける)・かこ(つ),タク,ことづ(かる)・かこつ(ける)・かこ(つ)
1324,濯,濯,2.5,水,탁,씻다,タク,,,あら(う)・すす(ぐ),タク,あら(う)・すす(ぐ)
1325,諾,,3,言,낙,받아들이다,ダク,,,うべな(う),ダク,うべな(う)
1326,濁,,4,水,탁,흐리다,ダク,にご(る)・にご(す),ジョク,,ダク・ジョク,にご(る)・にご(す)
1327,但,,2.5,人,단,다만,,ただ(し),タン・ダン,ただ,タン・ダン,ただ(し)・ただ
1328,達,達,7,辵,달,"통달, 여럿",タツ,,ダチ・タチ,とお(る)・とど(く)・たち・たし,タツ・ダチ・タチ,とお(る)・とど(く)・たち・たし
1329,脱,脫,4,肉,탈,벗다,ダツ,ぬ(ぐ)・ぬ(げる),タツ,,ダツ・タツ,ぬ(ぐ)・ぬ(げる)
1330,奪,,3,大,탈,빼앗다,ダツ,うば(う),タツ,,ダツ・タツ,うば(う)
1331,棚,,2.5,木,붕,선반,,たな,ホウ,,ホウ,たな
1332,誰,,2,言,수,누구,,だれ,スイ,たれ・た,スイ,だれ・たれ・た
1333,丹,,4,丶,단,성심,タン,,,に・あか・まごころ,タン,に・あか・まごころ
1334,旦,,2,日,단,아침,タン・ダン,,,あした,タン・ダン,あした
1335,担,擔,5,手,담,"메다, 짊어지다, 맡다",タン,かつ(ぐ)・にな(う),,,タン,かつ(ぐ)・にな(う)
1336,単,單,7,ツ,단,홑,タン,,ゼン,ひと(つ)・ひとえ,タン・ゼン,ひと(つ)・ひとえ
1337,炭,,8,火,탄,숯,タン,すみ,,,タン,すみ
1338,胆,膽,3,肉,담,쓸개,タン,,トウ,きも,タン・トウ,きも
1339,探,,5,手,탐,"찾다, 살피다",タン,さぐ(る)・さが(す),,,タン,さぐ(る)・さが(す)
1340,淡,,4,水,담,"연하다, 담담함",タン,あわ(い),,うす(い),タン,あわ(い)・うす(い)
1341,短,,8,矢,단,짧다,タン,みじか(い),,,タン,みじか(い)
1342,嘆,嘆,4,口,탄,한탄하다,タン,なげ(く)・なげ(かわしい),,,タン,なげ(く)・なげ(かわしい)
1343,端,,4,立,단,끝,タン,はし・は・はた,,ただ(しい)・はな・はじ(め)・はした,タン,はし・は・はた・ただ(しい)・はな・はじ(め)・はした
1344,綻,,2,糸,탄,터지다,タン,ほころ(びる),,,タン,ほころ(びる)
1345,誕,誕,5,言,탄,탄생,タン,,,う(まれる)・いつわ(る)・ほしいまま,タン,う(まれる)・いつわ(る)・ほしいまま
1346,鍛,,3,金,단,단련하다,タン,きた(える),,,タン,きた(える)
1347,団,團,6,囗,단,단체,ダン・トン,,タン,まる(い)・かたまり,ダン・トン・タン,まる(い)・かたまり
1348,男,,10,田,남,남자,ダン・ナン,おとこ,,おのこ,ダン・ナン,おとこ・おのこ
1349,段,,5,殳,단,층계,ダン,,タン,きざはし,ダン・タン,きざはし
1350,断,斷,6,斤,단,"끊다, 거절하다",ダン,た(つ)・ことわ(る),,さだ(める),ダン,た(つ)・ことわ(る)・さだ(める)
1351,弾,彈,4,弓,탄,"탄알, 연주하다, 튀다",ダン,ひ(く)・はず(む)・たま,,はじ(く)・はじ(ける)・はず(み)・ただ(す),ダン,ひ(く)・はず(む)・たま・はじ(く)・はじ(ける)・はず(み)・ただ(す)
1352,暖,暖,5,日,난,따뜻하다,ダン,あたた(か)・あたた(かい)・あたた(まる)・あたた(める),ノン,,ダン・ノン,あたた(か)・あたた(かい)・あたた(まる)・あたた(める)
1353,談,,8,言,담,말씀,ダン,,タン,かた(る),ダン・タン,かた(る)
1354,壇,,3,土,단,단,ダン・タン,,,,ダン・タン,無し
1355,地,,9,土,지,땅,チ・ジ,,,つち・ところ,チ・ジ,つち・ところ
1356,池,,9,水,지,연못,チ,いけ,,,チ,いけ
1357,知,,9,矢,지,알다,チ,し(る),,し(らせる),チ,し(る)・し(らせる)
1358,値,,5,人,치,가치가 있다,チ,ね・あたい,チョク,あ(う),チ・チョク,ね・あたい・あ(う)
1359,恥,,4,心,치,부끄럽다,チ,は(じる)・はじ・は(じらう)・は(ずかしい),,,チ,は(じる)・はじ・は(じらう)・は(ずかしい)
1360,致,,4,至,치,이르게 하다,チ,いた(す),,,チ,いた(す)
1361,遅,遲,4,辵,지,늦다,チ,おく(れる)・おく(らす)・おそ(い),,,チ,おく(れる)・おく(らす)・おそ(い)
1362,痴,癡,2.5,疒,치,어리석다,チ,,,おろ(か)・し(れる)・おこ,チ,おろ(か)・し(れる)・おこ
1363,稚,,3,禾,치,어리다,チ,,,わか(い)・いとけな(い),チ,わか(い)・いとけな(い)
1364,置,,7,网,치,놓다,チ,お(く),,,チ,お(く)
1365,緻,,2,糸,치,빽빽하다,チ,,,こま(かい),チ,こま(かい)
1366,竹,,10,竹,죽,대나무,チク,たけ,,,チク,たけ
1367,畜,,3,田,축,짐승,チク,,キク,やしな(う)・か(う)・たくわ(える),チク・キク,やしな(う)・か(う)・たくわ(える)
1368,逐,逐,2.5,辵,축,차례로,チク,,ジク,お(う),チク・ジク,お(う)
