순번,한자,구자,급수,부수,음,훈,内音,内訓,外音,外訓,音,訓
1140,石,,10,石,석,돌,セキ・シャク・コク,いし,ジャク,,セキ・シャク・コク・ジャク,いし
1141,赤,,10,赤,적,"빨강, 아기",セキ・シャク,あか・あか(い)・あか(らむ)・あか(らめる),,,セキ・シャク,あか・あか(い)・あか(らむ)・あか(らめる)
1142,昔,,8,日,석,옛날,セキ・シャク,むかし,,,セキ・シャク,むかし
1143,析,,2.5,木,석,쪼개다,セキ,,,さ(く)・わ(ける)・わ(かれる),セキ,さ(く)・わ(ける)・わ(かれる)
1144,席,,7,巾,석,자리,セキ,,,むしろ,セキ,むしろ
1145,脊,,2,肉,척,척추,セキ,,,せ・せい,セキ,せ・せい
1146,隻,,3,隹,척,외짝,セキ,,,ひと(つ),セキ,ひと(つ)
1147,惜,,3,心,석,아깝다,セキ,お(しい)・お(しむ),シャク,,セキ・シャク,お(しい)・お(しむ)
1148,戚,,2,戈,척,겨레,セキ,,,みうち・いた(む)・うれ(える),セキ,みうち・いた(む)・うれ(える)
1149,責,,6,貝,책,꾸짖다,セキ,せ(める),シャク,,セキ・シャク,せ(める)
1150,跡,,4,足,적,자취,セキ,あと,シャク,,セキ・シャク,あと
1151,積,,7,禾,적,쌓다,セキ,つ(む)・つ(もる),シ・シャク,たくわ(える),セキ・シ・シャク,つ(む)・つ(もる)・たくわ(える)
1152,績,,6,糸,적,업적,セキ,,,つむ(ぐ)・う(む)・いさお,セキ,つむ(ぐ)・う(む)・いさお
1153,籍,,3,竹,적,문서,セキ,,ジャク,ふみ・し(く)・ふ(む),セキ・ジャク,ふみ・し(く)・ふ(む)
1154,切,,9,刀,"절, 체","끊다, 자르다",セツ・サイ,き(る)・き(れる),,,セツ・サイ,き(る)・き(れる)
1155,折,,7,手,절,꺾다,セツ,お(る)・おり・お(れる),シャク,くじ(ける)・さだ(める),セツ・シャク,お(る)・おり・お(れる)・くじ(ける)・さだ(める)
1156,拙,,2.5,手,졸,형편없다,セツ,つたな(い),,まず(い),セツ,つたな(い)・まず(い)
1157,窃,竊,2.5,穴,절,훔치다,セツ,,,ぬす(む)・ひそ(かに),セツ,ぬす(む)・ひそ(かに)
1158,接,,6,手,접,잇다,セツ,つ(ぐ),ショウ,は(ぐ)・まじ(わる)・もてな(す),セツ・ショウ,つ(ぐ)・は(ぐ)・まじ(わる)・もてな(す)
1159,設,,6,言,설,설치하다,セツ,もう(ける),セチ,しつら(える),セツ・セチ,もう(ける)・しつら(える)
1160,雪,雪,9,雨,설,눈,セツ,ゆき,,すす(ぐ)・そそ(ぐ),セツ,ゆき・すす(ぐ)・そそ(ぐ)
1161,摂,攝,3,手,섭,다스리다,セツ,,ショウ,と(る)・か(ねる)・か(わる),セツ・ショウ,と(る)・か(ねる)・か(わる)
1162,節,節,7,竹,절,마디,セツ・セチ,ふし,,みさお・ノット,セツ・セチ,ふし・みさお・ノット
1163,説,說,7,言,설,"설명, 말하다, 해석하다",セツ・ゼイ,と(く),エツ,よろこ(ぶ),セツ・ゼイ・エツ,と(く)・よろこ(ぶ)
1164,舌,,5,舌,설,혀,ゼツ,した,セツ,ことば,ゼツ・セツ,した・ことば
1165,絶,,6,糸,절,"끊다, 끝나다",ゼツ,た(える)・た(やす)・た(つ),ゼチ・セツ,はなは(だ)・わた(る),ゼツ・ゼチ・セツ,た(える)・た(やす)・た(つ)・はなは(だ)・わた(る)
1166,千,,10,十,천,1000,セン,ち,,,セン,ち
1167,川,,10,川,천,강,セン,かわ,,,セン,かわ
1168,仙,,2.5,人,선,신선,セン,,,,セン,無し
1169,占,,4,卜,점,"점치다, 차지하다",セン,し(める)・うらな(う),,,セン,し(める)・うらな(う)
1170,先,,10,儿,선,먼저,セン,さき,,ま(ず),セン,さき・ま(ず)
1171,宣,,5,宀,선,베풀다,セン,,,の(べる)・のたま(う),セン,の(べる)・のたま(う)
1172,専,專,5,寸,전,오로지,セン,もっぱ(ら),,ほしいまま,セン,もっぱ(ら)・ほしいまま
1173,泉,,5,水,천,샘,セン,いずみ,,,セン,いずみ
1174,浅,淺,7,水,천,얕다,セン,あさ(い),,,セン,あさ(い)
1175,洗,,5,水,세,씻다,セン,あら(う),,,セン,あら(う)
1176,染,,5,木,염,"물들다, 번지다",セン,そ(める)・そ(まる)・し(みる)・し(み),ゼン,,セン・ゼン,そ(める)・そ(まる)・し(みる)・し(み)
1177,扇,扇,4,戸,선,부채,セン,おうぎ,,あお(ぐ)・おだ(てる),セン,おうぎ・あお(ぐ)・おだ(てる)
1178,栓,栓,2.5,木,전,마개,セン,,,,セン,無し
1179,旋,,2.5,方,선,돌다,セン,,,めぐ(る),セン,めぐ(る)
1180,船,船,9,舟,선,배,セン,ふね・ふな,,,セン,ふね・ふな
1181,戦,戰,7,戈,전,"싸움, 싸우다",セン,いくさ・たたか(う),,おのの(く)・そよ(ぐ),セン,いくさ・たたか(う)・おのの(く)・そよ(ぐ)
1182,煎,煎,2,火,전,"볶다, 지지다",セン,い(る),,に(る),セン,い(る)・に(る)
1183,羨,,2,羊,선,부럽다,セン,うらや(む)・うらや(ましい),ゼン・エン,あま(る)・はかみち,セン・ゼン・エン,うらや(む)・うらや(ましい)・あま(る)・はかみち
1184,腺,,2,肉,선,샘,セン,,,すじ,セン,すじ
1185,詮,,2,言,전,설명하다,セン,,,あきらか・しら(べる)・そな(わる)・えら(ぶ),セン,あきらか・しら(べる)・そな(わる)・えら(ぶ)
1186,践,踐,2.5,足,천,밟다,セン,,,ふ(む),セン,ふ(む)
1187,䇳,箋,2,竹,전,기록하다,セン,,,ふだ・はりふだ・なふだ・ときあ(かし)・てがみ・かきもの,セン,ふだ・はりふだ・なふだ・ときあ(かし)・てがみ・かきもの
1188,銭,錢,5,金,전,돈,セン,ぜに,ゼン,すき,セン・ゼン,ぜに・すき
1189,潜,潛,3,水,잠,"숨다, 잠수하다",セン,ひそ(む)・もぐ(る),,くぐ(る),セン,ひそ(む)・もぐ(る)・くぐ(る)
1190,線,,9,糸,선,"줄, 선",セン,,,いと・すじ,セン,いと・すじ
1191,遷,遷,2.5,辵,천,옮기다,セン,,,うつ(る)・うつ(す),セン,うつ(る)・うつ(す)
1192,選,選,7,辵,선,고르다,セン,えら(ぶ),,え(る)・よ(る)・すぐ(る),セン,えら(ぶ)・え(る)・よ(る)・すぐ(る)
1193,薦,,2.5,艸,천,추천하다,セン,すす(める),,こも・し(く)・しき(りに),セン,すす(める)・こも・し(く)・しき(りに)
1194,繊,纖,2.5,糸,섬,가늘다,セン,,チン,ほそ(い)・ちい(さい)・しな(やか),セン・チン,ほそ(い)・ちい(さい)・しな(やか)
1195,鮮,,4,魚,선,선명함,セン,あざ(やか),,あたら(しい)・すく(ない),セン,あざ(やか)・あたら(しい)・すく(ない)
1196,全,全,8,入,전,"전부, 전혀",ゼン,まった(く)・すべ(て),セン,,ゼン・セン,まった(く)・すべ(て)
1197,前,,9,刀,전,앞,ゼン,まえ,セン,さき,ゼン・セン,まえ・さき
1198,善,,5,口,선,"착하다, 좋다",ゼン,よ(い),セン,,ゼン・セン,よ(い)
1199,然,,7,火,연,당연,ゼン・ネン,,,しか(り)・しか(し)・しか(も)・も(える),ゼン・ネン,しか(り)・しか(し)・しか(も)・も(える)
1200,禅,禪,2.5,示,선,선,ゼン,,セン,ゆず(る),ゼン・セン,ゆず(る)
1201,漸,,2.5,水,점,점차,ゼン,,ザン,ようや(く)・すす(む)・やや,ゼン・ザン,ようや(く)・すす(む)・やや
1202,膳,,2,肉,선,밥상,ゼン,,セン,そな(える)・かしわ,ゼン・セン,そな(える)・かしわ
1203,繕,,3,糸,선,수선하다,ゼン,つくろ(う),セン,,ゼン・セン,つくろ(う)
1204,狙,,2,犬,저,노리다,ソ,ねら(う),,さる,ソ,ねら(う)・さる
1205,阻,,3,阜,조,막다,ソ,はば(む),,けわ(しい)・へだ(たる),ソ,はば(む)・けわ(しい)・へだ(たる)
1206,祖,祖,6,示,조,조상,ソ,,,おや・じじ・はじ(め),ソ,おや・じじ・はじ(め)
1207,租,,2.5,禾,조,조세,ソ,,,みつぎ・ちんが(り),ソ,みつぎ・ちんが(り)
1208,素,,6,糸,소,요소,ソ・ス,,,もと・もと(より)・しろ(い),ソ・ス,もと・もと(より)・しろ(い)
1209,措,,3,手,조,조치,ソ,,,お(く)・はか(らう),ソ,お(く)・はか(らう)
1210,粗,,3,米,조,"결점, 조잡하다",ソ,あら(い),,ほぼ,ソ,あら(い)・ほぼ
1211,組,,9,糸,조,짜다,ソ,く(む)・くみ,,くみひも,ソ,く(む)・くみ・くみひも
1212,疎,,2.5,疋,소,"소원하다, 멀리하다, 소홀함",ソ,うと(い)・うと(む),ショ,まば(ら)・うろ・おろ・おろそ(か)・おろ(か)・とお(る)・とお(す),ソ・ショ,うと(い)・うと(む)・まば(ら)・うろ・おろ・おろそ(か)・おろ(か)・とお(る)・とお(す)
1213,訴,,4,言,소,호소하다,ソ,うった(える),,,ソ,うった(える)
1214,塑,,2.5,土,소,빚다,ソ,,,でく,ソ,でく
1215,遡,,2,辵,소,거슬러 올라가다,ソ,さかのぼ(る),,む(かう),ソ,さかのぼ(る)・む(かう)
1216,礎,,3,石,초,주춧돌,ソ,いしずえ,,,ソ,いしずえ
1217,双,雙,3,又,쌍,쌍,ソウ,ふた,,ふた(つ)・たぐい・もろ・なら(ぶ),ソウ,ふた・ふた(つ)・たぐい・もろ・なら(ぶ)
1218,壮,壯,2.5,士,장,장하다,ソウ,,,さか(ん),ソウ,さか(ん)
1219,早,,10,日,조,"이르다, 빨라지다",ソウ・サッ,はや(い)・はや(まる)・はや(める),,さ,ソウ・サッ,はや(い)・はや(まる)・はや(める)・さ
1220,争,爭,7,亅,쟁,다투다,ソウ,あらそ(う),,いさ(める),ソウ,あらそ(う)・いさ(める)
1221,走,,9,走,주,달리다,ソウ,はし(る),,,ソウ,はし(る)
1222,奏,,5,大,주,연주하다,ソウ,かな(でる),,すす(める),ソウ,かな(でる)・すす(める)
1223,相,,8,目,상,서로,ソウ・ショウ,あい,,さが・たす(ける),ソウ・ショウ,あい・さが・たす(ける)
1224,荘,莊,2.5,艸,장,"별장, 씩씩하다",ソウ,,ショウ,おごそ(か)・しもやしき,ソウ・ショウ,おごそ(か)・しもやしき
1225,草,,10,艸,초,풀,ソウ,くさ,,,ソウ,くさ
1226,送,送,8,辵,송,보내다,ソウ,おく(る),,,ソウ,おく(る)
1227,倉,,7,人,창,창고,ソウ,くら,,にわ(か),ソウ,くら・にわ(か)
1228,捜,搜,2.5,手,수,찾다,ソウ,さが(す),,,ソウ,さが(す)
1229,挿,揷,2.5,手,삽,꽂다,ソウ,さ(す),,はさ(む)・す(げる)・さしはさ(む),ソウ,さ(す)・はさ(む)・す(げる)・さしはさ(む)
1230,桑,,3,木,상,뽕나무,ソウ,くわ,,,ソウ,くわ
1231,巣,巢,7,ツ,소,둥지,ソウ,す,,,ソウ,す
1232,掃,掃,3,手,소,쓸다,ソウ,は(く),,はら(う),ソウ,は(く)・はら(う)
1233,曹,,2.5,曰,조,무리,ソウ,,ゾウ,つかさ・ともがら,ソウ・ゾウ,つかさ・ともがら
1234,曽,曾,2,曰,증,일찍,ソウ・ゾ,,ソ・ゾウ,かつ(て)・かさ(なる)・ま(す)・すなわ(ち),ソウ・ゾ・ソ・ゾウ,かつ(て)・かさ(なる)・ま(す)・すなわ(ち)
1235,爽,,2,大,상,산뜻하다,ソウ,さわ(やか),,あき(らか)・たが(う),ソウ,さわ(やか)・あき(らか)・たが(う)
1236,窓,,5,穴,창,창문,ソウ,まど,,,ソウ,まど
1237,創,,5,刀,창,만들다,ソウ,つく(る),,はじ(める)・きず,ソウ,つく(る)・はじ(める)・きず
1238,喪,,2.5,口,상,잃다,ソウ,も,,うしな(う)・ほろ(びる)・ほろ(ぼす),ソウ,も・うしな(う)・ほろ(びる)・ほろ(ぼす)
1239,痩,瘦,2,疒,수,"야위다, 살 빠지다",ソウ,や(せる),シュウ,ほそ(い)・こ(ける),ソウ・シュウ,や(せる)・ほそ(い)・こ(ける)
1240,葬,,3,艸,장,"매장하다, 장례",ソウ,ほうむ(る),,,ソウ,ほうむ(る)
1241,装,裝,5,衣,장,꾸미다,ソウ・ショウ,よそお(う),,よそ(う),ソウ・ショウ,よそお(う)・よそ(う)
1242,僧,僧,4,人,승,승려,ソウ,,,,ソウ,無し
1243,想,,8,心,상,생각,ソウ・ソ,,,おも(う),ソウ・ソ,おも(う)
1244,層,層,5,尸,층,층,ソウ,,,かさ(なる),ソウ,かさ(なる)
1245,総,總,6,糸,총,거느리다,ソウ,,,す(べる)・すべ(て)・ふさ,ソウ,す(べる)・すべ(て)・ふさ
1246,遭,遭,3,辵,조,만나다,ソウ,あ(う),,,ソウ,あ(う)
1247,槽,,2.5,木,조,물통,ソウ,,,かいばおけ・おけ・ふね,ソウ,かいばおけ・おけ・ふね
1248,踪,,2,足,종,자취,ソウ,,シュウ,あと,ソウ・シュウ,あと
1249,操,,5,手,조,"절조, 조종하다",ソウ,みさお・あやつ(る),,と(る),ソウ,みさお・あやつ(る)・と(る)
1250,燥,,4,火,조,마르다,ソウ,,,かわ(く)・はしゃ(ぐ),ソウ,かわ(く)・はしゃ(ぐ)
1251,霜,,2.5,雨,상,서리,ソウ,しも,,,ソウ,しも
1252,騒,騷,4,馬,소,떠들다,ソウ,さわ(ぐ),,ざわ(つく)・ぞめ(く)・うれ(い),ソウ,さわ(ぐ)・ざわ(つく)・ぞめ(く)・うれ(い)
1253,藻,,2.5,艸,조,"해초, 수초",ソウ,も,,あや,ソウ,も・あや
1254,造,造,6,辵,조,"만들다, 짓다",ゾウ,つく(る),,いた(る)・な(る)・はじ(める)・みやつこ,ゾウ,つく(る)・いた(る)・な(る)・はじ(める)・みやつこ
1255,像,,6,人,상,모양,ゾウ,,ショウ,かたち・かたど(る),ゾウ・ショウ,かたち・かたど(る)
1256,増,增,6,土,증,"늘다, 증가하다",ゾウ,ま(す)・ふ(える)・ふ(やす),ソウ,,ゾウ・ソウ,ま(す)・ふ(える)・ふ(やす)
1257,憎,憎,3,心,증,"밉다, 얄밉다",ゾウ,にく(む)・にく(い)・にく(らしい)・にく(しみ),ソウ,,ゾウ・ソウ,にく(む)・にく(い)・にく(らしい)・にく(しみ)
1258,蔵,藏,5,艸,장,창고,ゾウ,くら,ソウ,おさ(める)・かく(れる),ゾウ・ソウ,くら・おさ(める)・かく(れる)
1259,贈,贈,4,貝,증,주다,ゾウ・ソウ,おく(る),,,ゾウ・ソウ,おく(る)
